trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
100,False,"{'a': 0.7, 'e': 0.36787944117144233}",35,18,-119.231481963,"{0: 12, 1: 0, 2: 2, 3: 0, 4: 3}",1
101,False,"{'a': 0.7, 'e': 0.3642189795715233}",30,0,-52.88005827,"{0: 24, 1: 1, 2: 4, 3: 0, 4: 1}",0
102,False,"{'a': 0.7, 'e': 0.3605949401730783}",20,9,-11.948045572,"{0: 9, 1: 1, 2: 0, 3: 1, 4: 0}",1
103,False,"{'a': 0.7, 'e': 0.3570069605691474}",20,12,-40.1047041892,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 1}",1
104,False,"{'a': 0.7, 'e': 0.35345468195878016}",25,11,-27.8290638456,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 1}",1
105,False,"{'a': 0.7, 'e': 0.3499377491111553}",20,5,-69.2572065812,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 2}",1
106,False,"{'a': 0.7, 'e': 0.3464558103300574}",25,0,-90.3162070098,"{0: 18, 1: 3, 2: 2, 3: 0, 4: 2}",0
107,False,"{'a': 0.7, 'e': 0.34300851741870664}",25,15,8.78518959433,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
108,False,"{'a': 0.7, 'e': 0.3395955256449391}",25,13,-79.8528611442,"{0: 8, 1: 0, 2: 1, 3: 2, 4: 1}",1
109,False,"{'a': 0.7, 'e': 0.33621649370673334}",20,11,-8.02296805637,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
110,False,"{'a': 0.7, 'e': 0.33287108369807955}",30,23,8.46815218434,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.7, 'e': 0.32955896107518906}",20,16,10.1002351832,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.7, 'e': 0.32627979462303947}",20,6,-1.86616962493,"{0: 11, 1: 2, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.7, 'e': 0.3230332564222529}",20,8,22.8010751271,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
114,False,"{'a': 0.7, 'e': 0.31981902181630384}",20,0,17.9285131179,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
115,False,"{'a': 0.7, 'e': 0.31663676937905316}",20,15,1.35945255851,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
116,False,"{'a': 0.7, 'e': 0.3134861808826053}",20,11,16.6697076465,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
117,False,"{'a': 0.7, 'e': 0.31036694126548503}",20,11,14.8989949333,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
118,False,"{'a': 0.7, 'e': 0.30727873860113125}",30,7,-48.5777592318,"{0: 18, 1: 0, 2: 4, 3: 0, 4: 1}",1
119,False,"{'a': 0.7, 'e': 0.3042212640667041}",25,15,-37.647546129,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 1}",1
120,False,"{'a': 0.7, 'e': 0.30119421191220214}",20,10,11.1692007897,"{0: 9, 1: 1, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.7, 'e': 0.2981972794298874}",20,13,-31.6516014123,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
122,False,"{'a': 0.7, 'e': 0.2952301669240142}",25,1,-59.1149764754,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 2}",1
123,False,"{'a': 0.7, 'e': 0.2922925776808594}",20,0,6.47784404363,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",1
124,False,"{'a': 0.7, 'e': 0.2893842179390506}",25,13,19.1166507027,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
125,False,"{'a': 0.7, 'e': 0.2865047968601901}",25,20,8.21475812874,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
126,False,"{'a': 0.7, 'e': 0.2836540264997704}",20,12,-50.274343435,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 1}",1
127,False,"{'a': 0.7, 'e': 0.2808316217783798}",20,14,11.3447799541,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
128,False,"{'a': 0.7, 'e': 0.27803730045319414}",25,0,20.8733197649,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
129,False,"{'a': 0.7, 'e': 0.27527078308975234}",30,19,17.2126537817,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.7, 'e': 0.2725317930340126}",25,11,-39.426095977,"{0: 11, 1: 0, 2: 2, 3: 0, 4: 1}",1
131,False,"{'a': 0.7, 'e': 0.2698200563846868}",20,11,5.94415784748,"{0: 8, 1: 0, 2: 1, 3: 0, 4: 0}",1
132,False,"{'a': 0.7, 'e': 0.26713530196585034}",20,0,9.15640067089,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
133,False,"{'a': 0.7, 'e': 0.26447726129982396}",20,0,23.7073693265,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
134,False,"{'a': 0.7, 'e': 0.261845668580326}",20,13,0.637953057743,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
135,False,"{'a': 0.7, 'e': 0.2592402606458915}",25,11,8.33547633087,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
136,False,"{'a': 0.7, 'e': 0.2566607769535559}",20,7,20.8815577279,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
137,False,"{'a': 0.7, 'e': 0.25410695955280027}",30,18,23.570780188,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
138,False,"{'a': 0.7, 'e': 0.25157855305975646}",20,6,24.6987500261,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
139,False,"{'a': 0.7, 'e': 0.24907530463166816}",20,12,15.4550088185,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
140,False,"{'a': 0.7, 'e': 0.24659696394160643}",30,8,36.3483095558,"{0: 22, 1: 0, 2: 0, 3: 0, 4: 0}",1
141,False,"{'a': 0.7, 'e': 0.2441432831534371}",20,0,-1.7356520205,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
142,False,"{'a': 0.7, 'e': 0.24171401689703645}",25,19,9.81454752306,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
143,False,"{'a': 0.7, 'e': 0.23930892224375455}",20,6,9.66964180592,"{0: 12, 1: 1, 2: 1, 3: 0, 4: 0}",1
144,False,"{'a': 0.7, 'e': 0.23692775868212176}",25,14,19.6286915107,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
145,False,"{'a': 0.7, 'e': 0.23457028809379765}",20,3,-50.5094898716,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 1}",1
146,False,"{'a': 0.7, 'e': 0.23223627472975883}",25,3,-57.1274665639,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 2}",1
147,False,"{'a': 0.7, 'e': 0.22992548518672384}",25,13,24.4266889501,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
148,False,"{'a': 0.7, 'e': 0.22763768838381274}",20,2,28.7792025864,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
149,False,"{'a': 0.7, 'e': 0.22537265553943872}",20,6,21.5006799761,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
150,False,"{'a': 0.7, 'e': 0.22313016014842982}",20,9,10.192628292,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
151,False,"{'a': 0.7, 'e': 0.2209099779593782}",20,12,12.265139099,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.7, 'e': 0.21871188695221475}",20,13,0.591067995049,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
153,False,"{'a': 0.7, 'e': 0.21653566731600707}",25,8,16.6822775526,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
154,False,"{'a': 0.7, 'e': 0.21438110142697794}",25,13,-0.98389708642,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
155,False,"{'a': 0.7, 'e': 0.21224797382674304}",20,12,14.6631577207,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
156,False,"{'a': 0.7, 'e': 0.21013607120076472}",25,17,13.9460353076,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
157,False,"{'a': 0.7, 'e': 0.20804518235702046}",25,0,-20.0867270638,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
158,False,"{'a': 0.7, 'e': 0.20597509820488344}",20,6,-27.6233619418,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 1}",1
159,False,"{'a': 0.7, 'e': 0.20392561173421342}",20,14,13.9831767843,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.7, 'e': 0.20189651799465538}",20,13,13.2783130598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.7, 'e': 0.1998876140751445}",30,4,15.308170906,"{0: 24, 1: 1, 2: 0, 3: 1, 4: 0}",1
162,False,"{'a': 0.7, 'e': 0.19789869908361465}",25,15,6.6205891853,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
163,False,"{'a': 0.7, 'e': 0.19592957412690934}",25,0,26.50027049,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
164,False,"{'a': 0.7, 'e': 0.19398004229089189}",20,7,11.7207241899,"{0: 12, 1: 0, 2: 1, 3: 0, 4: 0}",1
165,False,"{'a': 0.7, 'e': 0.19204990862075408}",30,13,27.4495671818,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.7, 'e': 0.1901389801015205}",25,3,18.9871705682,"{0: 21, 1: 0, 2: 1, 3: 0, 4: 0}",1
167,False,"{'a': 0.7, 'e': 0.1882470656387468}",20,13,-29.2169216559,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 1}",1
168,False,"{'a': 0.7, 'e': 0.18637397603940997}",20,12,17.3632658498,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
169,False,"{'a': 0.7, 'e': 0.18451952399298926}",25,6,18.3049837211,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 0}",1
170,False,"{'a': 0.7, 'e': 0.18268352405273466}",30,20,18.1070250964,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
171,False,"{'a': 0.7, 'e': 0.1808657926171221}",25,7,27.2441961122,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
172,False,"{'a': 0.7, 'e': 0.17906614791149322}",20,8,18.8558374284,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
173,False,"{'a': 0.7, 'e': 0.17728440996987782}",20,11,9.01837226569,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
174,False,"{'a': 0.7, 'e': 0.17552040061699686}",25,7,-14.3498318757,"{0: 16, 1: 0, 2: 0, 3: 2, 4: 0}",1
175,False,"{'a': 0.7, 'e': 0.17377394345044514}",30,0,45.1623275361,"{0: 29, 1: 1, 2: 0, 3: 0, 4: 0}",0
176,False,"{'a': 0.7, 'e': 0.17204486382305054}",30,14,9.91613326259,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
177,False,"{'a': 0.7, 'e': 0.17033298882540943}",20,14,12.0781837147,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
178,False,"{'a': 0.7, 'e': 0.1686381472685955}",25,12,21.7412024826,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
179,False,"{'a': 0.7, 'e': 0.1669601696670407}",25,7,31.2329829963,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
180,False,"{'a': 0.7, 'e': 0.16529888822158653}",20,4,12.9655284869,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 0}",1
181,False,"{'a': 0.7, 'e': 0.16365413680270405}",35,17,31.8038503501,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
182,False,"{'a': 0.7, 'e': 0.16202575093388075}",20,9,21.5379082715,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
183,False,"{'a': 0.7, 'e': 0.16041356777517274}",20,5,18.2907927551,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
184,False,"{'a': 0.7, 'e': 0.15881742610692068}",20,8,9.27983920357,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
185,False,"{'a': 0.7, 'e': 0.1572371663136276}",20,11,16.6406034311,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
186,False,"{'a': 0.7, 'e': 0.1556726303679973}",25,10,-15.570369848,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 1}",1
187,False,"{'a': 0.7, 'e': 0.1541236618151314}",25,18,-1.79327840632,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
188,False,"{'a': 0.7, 'e': 0.15259010575688386}",20,12,12.2590607381,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
189,False,"{'a': 0.7, 'e': 0.15107180883637084}",25,14,-17.8286594983,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
190,False,"{'a': 0.7, 'e': 0.14956861922263504}",20,13,6.58798770082,"{0: 6, 1: 1, 2: 0, 3: 0, 4: 0}",1
191,False,"{'a': 0.7, 'e': 0.14808038659546244}",20,7,18.8682387116,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
192,False,"{'a': 0.7, 'e': 0.14660696213035015}",20,12,-6.63272945334,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
193,False,"{'a': 0.7, 'e': 0.14514819848362373}",20,10,16.992272583,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
194,False,"{'a': 0.7, 'e': 0.14370394977770293}",20,1,31.1789874582,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 0}",1
195,False,"{'a': 0.7, 'e': 0.1422740715865136}",20,10,4.56314854177,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
196,False,"{'a': 0.7, 'e': 0.140858420921045}",20,14,-2.85243501446,"{0: 5, 1: 0, 2: 1, 3: 0, 4: 0}",1
197,False,"{'a': 0.7, 'e': 0.13945685621505094}",30,12,24.1130669026,"{0: 17, 1: 1, 2: 0, 3: 0, 4: 0}",1
198,False,"{'a': 0.7, 'e': 0.13806923731089282}",20,13,11.9264770263,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
199,False,"{'a': 0.7, 'e': 0.13669542544552385}",20,9,13.8575842125,"{0: 10, 1: 1, 2: 0, 3: 0, 4: 0}",1
200,False,"{'a': 0.7, 'e': 0.1353352832366127}",30,16,-11.5880084562,"{0: 12, 1: 0, 2: 1, 3: 1, 4: 0}",1
201,False,"{'a': 0.7, 'e': 0.13398867466880493}",30,7,-42.9624216618,"{0: 21, 1: 0, 2: 0, 3: 0, 4: 2}",1
202,False,"{'a': 0.7, 'e': 0.13265546508012172}",20,11,16.4302678362,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
203,False,"{'a': 0.7, 'e': 0.13133552114849303}",25,0,37.6307717036,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
204,False,"{'a': 0.7, 'e': 0.1300287108784259}",25,0,39.2638743989,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
205,False,"{'a': 0.7, 'e': 0.12873490358780423}",20,9,8.88731270901,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
206,False,"{'a': 0.7, 'e': 0.12745396989482075}",30,22,-8.44512760365,"{0: 7, 1: 0, 2: 0, 3: 1, 4: 0}",1
207,False,"{'a': 0.7, 'e': 0.12618578170503877}",30,21,13.7874506435,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
208,False,"{'a': 0.7, 'e': 0.12493021219858241}",25,6,-11.6355555234,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 1}",1
209,False,"{'a': 0.7, 'e': 0.12368713581745483}",20,8,2.38655491371,"{0: 11, 1: 0, 2: 0, 3: 1, 4: 0}",1
210,False,"{'a': 0.7, 'e': 0.1224564282529819}",25,17,3.35981038875,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
211,False,"{'a': 0.7, 'e': 0.12123796643338168}",20,8,23.902498837,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
212,False,"{'a': 0.7, 'e': 0.12003162851145673}",20,14,11.291941231,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
213,False,"{'a': 0.7, 'e': 0.11883729385240965}",20,0,1.92429599056,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
214,False,"{'a': 0.7, 'e': 0.11765484302177918}",25,13,9.96457451717,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
215,False,"{'a': 0.7, 'e': 0.11648415777349697}",25,7,29.0669587293,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
216,False,"{'a': 0.7, 'e': 0.11532512103806251}",25,10,24.8911024642,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
